HSN_CD,HSN_Description
01,LIVE ANIMALS
0101,"LIVE HORSES, ASSES, MULES AND HINNIES."
01011010,"LIVE HORSES, ASSES, MULES AND HINNIES PURE-BRED BREEDING ANIMALS HORSES"
01011020,"LIVE HORSES, ASSES, MULESANDHINNIES PURE-BRED BREEDING ANIMALS ASSES"
01011090,"LIVE HORSES, ASSES, MULES AND HINNIES PURE-BRED BREEDING ANIMAL S OTHER"
010121,PURE-BRED BREEDING ANIMALS
01012100,PURE-BRED BREEDING ANIMALS
010129,other
01012910,Horses for polo
01012990,other
010130,Asses
01013010,Pure-bred breeding animals
01013020,livestock
01013090,other
010190,Other
01019010,"LIVE HORSES, ASSES, MULES AND HINNIES - OTHER - HORSES FOR POLO"
01019020,"LIVE HORSES, ASSES, MULES AND HINNIES - OTHER - ASSES, MULES AND HINNIES AS LIVE STOCK"
01019030,Mules and hinnies as livestock
01019090,OTHER
0102,LIVE BOVINE ANIMALS.
01021010,LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS : ADULT
01021020,"LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS COWS, ADULT"
01021030,"LIVE BOVINE ANIMALS- BULLS - PURE-BRED BREEDING ANIMALS BUFFALOES, ADULT AND CALVES"
01021090,LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS OTHER
010221,Pure-bred breeding animals
01022110,Bulls
01022120,Cows
010229,Other
01022910,Bulls
01022990,"OTHER, INCLUDING CALVES"
010231,PURE-BRED BREEDING ANIMALS
01023100,Pure-bred breeding animals
010239,OTHER
01023900,OTHER
010290,Other
01029010,PURE-BRED BREEDING ANIMALS
01029020,"LIVE BOVINE ANIMALS - OTHER - BUFFALOES, ADULT AND CALVES"
01029090,OTHER
0103,LIVE SWINE
010310,PURE-BRED BREEDING ANIMALS
01031000,PURE-BRED BREEDING ANIMALS
010391,WEIGHING LESS THAN 50KG
01039100,WEIGHING LESS THAN 50KG
010392,WEIGHING 50KG OR MORE
01039200,WEIGHING 50KG OR MORE
0104,LIVE SHEEP AND GOATS
010410,Sheep
01041010,SHEEP INCLUDING LAMB FOR BREEDING PURPOSE
01041090,OTHER
010420,GOATS
01042000,GOATS
0105,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS."
010511,FOWLS OF THE SPECIES GALLUS DOMESTICUS
01051100,FOWLS OF THE SPECIES GALLUS DOMESTICUS
010512,TURKEYS
01051200,TURKEYS
010513,DUCKS
01051300,Ducks
010514,GEESE
01051400,Geese
010515,GUINEA FOWLS
01051500,Guinea fowls
01051900,"SPECIES GALLU SDOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS WEIGHING NOT MORE THAN 185G : OTHER"
01059200,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEAFOWLS - OTHER - FOWLS OF THE SPECIES GALLUS DOMESTICUS WEIGHING NOT MORE THAN 2000G"
01059300,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEAFOWLS - OTHER - FOWLS OF THE SPECIES GALLUSDOMESTICUS WEIGHING MORE THAN 2000G,"
010594,FOWLS OF THE SPECIES GALLUS DOMESTICUS
01059400,FOWLS OF THE SPECIES GALLUS DOMESTICUS
010599,OTHER
01059900,OTHER
0106,OTHER LIVE ANIMALS.
010611,PRIMATES
01061100,PRIMATES
010612,"WHALES, DOLPHINS AND PORPOISES (MAMMALS OF THE ORDER CETACEA), MANATEES AND DUGONGS (MAMMALS OF THE ORDER SIRENIA), SEALS, SEA LIONS AND WALRUSES (MAMMALS OF THE SUBORDER PINNIPEDIA)"
01061200,"WHALES, DOLPHINS AND PORPOISES (MAMMALS OF THE ORDER CETACEA), MANATEES AND DUGONGS (MAMMALS OF THE ORDER SIRENIA), SEALS, SEA LIONS AND WALRUSES (MAMMALS OF THE SUBORDER PINNIPEDIA)"
010613,CAMELS AND OTHER CAMELIDS (CAMELIDAE)
01061300,Camels and other camelids (Camelidae)
010614,RABBITS AND HARES
01061400,RABBITS AND HARES
010619,OTHER
01061900,OTHER
010620,REPTILES (INCLUDING SNAKES AND TURTLES)
01062000,REPTILES (INCLUDING SNAKES AND TURTLES)
010631,BIRDS OF PREY
01063100,BIRDS OF PREY
010632,"PSITTACIFORMES INCL. PARROTS, PARRAKEETS, MACAWS AND COCKATOOS"
01063200,"PSITTACIFORMES INCL. PARROTS, PARRAKEETS, MACAWS AND COCKATOOS"
010633,"OSTRICHES,EMUS (DROMAIUS NOVAEHOLLANDIAE)"
01063300,"OSTRICHES, EMUS (DROMAIUS NOVAEHOLLANDIAE)"
010639,OTHER
01063900,OTHER
010641,Bees
01064110,Pureline stock
01064190,other
010649,Other
01064910,Pureline Stock
01064990,Other
010690,Other
01069000,Other
01069010,"OTHERLIVE ANIMALS- OTHER - BEESANDOTHERINSECTS,NOTELSEWHEREINCLUDEDORSPECIFIED"
01069020,OTHER LIVE ANIMALS - OTHER - PURE LINE STOCK
01069090,OTHER LIVE ANIMALS - OTHER - OTHER
02,Meat and edible meat offal
0201,"MEAT OF BOVINE ANIMALS, FRESH OR CHILLED"
020110,CARCASES AND HALF-CARCASES
02011000,CARCASES AND HALF-CARCASES
020120,OTHER CUTS WITH BONE IN
02012000,OTHER CUTS WITH BONE IN
020130,BONELESS
02013000,BONELESS
0202,"MEAT OF BOVINE ANIMALS, FROZEN"
020210,CARCASES AND HALF-CARCASES
02021000, CARCASES AND HALF-CARCASES
020220,"OTHER CUTS, WITH BONE IN "
02022000,"OTHER CUTS, WITH BONE IN "
020230,BONELESS
02023000,BONELESS
0203,"MEAT OF SWINE, FRESH, CHILLED OR FROZEN."
020310,FRESH OR CHILLED
020311,CARCASES AND HALF-CARCASES 
02031100,CARCASES AND HALF-CARCASES 
020312,"HAMS, SHOULDERS AND CUTS THEREOF OF , WITH BONE IN"
02031200,"HAMS, SHOULDERS AND CUTS THEREOF OF , WITH BONE IN"
020319,OTHER
02031900,OTHER
020321,CARCASES AND HALF-CARCASES 
02032100,CARCASES AND HALF-CARCASES 
020322,"HAMS, SHOULDERS AND CUTS THEREOF OF, WITH BONE IN"
02032200,"HAMS, SHOULDERS AND CUTS THEREOF OF , WITH BONE IN"
020329,OTHER
02032900,OTHER
0204,"MEAT OF SHEEP OR GOATS, FRESH, CHILLED OR FROZEN"
020410,"CARCASES AND HALF-CARCASES OF LAMB, FRESH OR CHILLED"
02041000,"CARCASSES AND HALF-CARCASSES OF LAMB, FRESH OR CHILLED"
020420,"OTHER MEAT OF SHEEP, FRESH OR CHILLED"
020421,CARCASSES AND HALF-CARCASSES
02042100,CARCASSES AND HALF-CARCASSES
020422,OTHER CUTS WITH BONE IN
02042200,OTHER CUTS WITH BONE IN
020423,BONELESS
02042300,BONELESS
020430,"CARCASSES AND HALF-CARCASSES OF LAMB, FROZEN"
02043000,"CARCASSES AND HALF-CARCASSES OF LAMB, FROZEN"
020441,CARCASSES AND HALF-CARCASSES
02044100,CARCASSES AND HALF-CARCASSES
020442,OTHER CUTS WITH BONE IN
02044200,OTHER CUTS WITH BONE IN
020443,BONELESS
02044300,BONELESS
020450,MEAT OF GOATS
02045000,MEAT OF GOATS
0205,"MEAT OF HORSES, ASSES, MULES OR HINNIES, FRESH, CHILLED OR FROZEN"
020500,"MEAT OF HORSES, ASSES, MULES OR HINNES, FRESH, CHILLED OR FROZEN"
02050000,"MEAT OF HORSES, ASSES, MULES OR HINNES, FRESH, CHILLED OR FROZEN"
0206,"EDIBLE OFFAL OF BOVINE ANIMALS, SWINE, SHEEP, GOATS, HORSES, ASSES, MULES OR HINNIES, FRESH, CHILLED OR FROZEN"
020610,"OF BOVINE ANIMALS, FRESH OR CHILLED"
02061000,"OF BOVINE ANIMALS, FRESH OR CHILLED"
020621,TONGUES
02062100,TONGUES
020622,LIVERS
02062200,LIVERS
020629,OTHER
02062900,OTHER
020630,"OF SWINE, FRESH OR CHILLED"
02063000,"OF SWINE, FRESH OR CHILLED"
020641,LIVERS
02064100,LIVERS
020649,OTHER
02064900,OTHER
020680,"OTHER, FRESH OR CHILLED :"
02068010,OF SHEEP OR GOATS
02068090,OTHER
020690,"OTHER, FROZEN :"
02069010,OF SHEEP OR GOATS
02069090,OTHER
0207,"MEAT AND EDIBLE OFFAL, OF THE POULTRY OF HEADING 0105, FRESH, CHILLED OR FROZEN"
020711,"NOT CUT IN PIECES, FRESH OR CHILLED"
